Org8Codefy,LEANumCode,Org8Code,DistName,fy,eqv,income,cey,townfoundbudget,targetlocacont,mrgf,rlc,townenro,percenttargetcontributionofwealth
000000002007,999,00000000,State,2007,"816,023,318,200.00","169,295,960,000.00","5,521,121,258.00","8,014,672,861.38","4,728,656,993.00",6.12%,"4,876,428,769.24","951,287.00",86%
000000002008,999,00000000,State,2008,"991,189,369,000.00","184,853,806,000.00","5,833,455,109.00","8,406,096,436.00","4,959,596,902.00",4.61%,"4,997,705,380.00","949,580.00",85%
000000002009,999,00000000,State,2009,"991,189,369,000.00","197,878,310,000.00","6,158,240,432.00","8,811,314,229.29","5,198,675,397.00",4.37%,"5,110,365,420.00","944,224.00",84%
000000002010,999,00000000,State,2010,"1,081,810,885,500.00","213,884,247,614.37","6,406,864,786.00","9,088,557,473.20","5,362,248,910.00",0.75%,"5,250,106,057.00","940,985.00",84%
000000002011,999,00000000,State,2011,"1,081,810,885,500.00","233,756,569,083.15","6,396,357,604.00","8,921,047,969.91","5,263,418,302.00",2.85%,"5,302,267,235.00","938,333.00",82%
000000002012,999,00000000,State,2012,"1,024,656,765,100.00","220,299,055,000.00","6,450,798,336.00","9,119,340,580.37","5,379,825,883.00",2.99%,"5,413,602,275.00","937,307.00",83%
000000002013,999,00000000,State,2013,"1,024,656,765,100.00","204,712,174,716.50","6,601,515,926.00","9,467,117,140.67","5,585,246,862.00",3.77%,"5,582,113,529.62","934,763.00",85%
000000002014,999,00000000,State,2014,"975,688,844,600.00","224,782,705,522.00","6,941,690,429.00","9,711,217,584.80","5,729,618,371.00",3.39%,"5,748,475,142.98","938,083.00",83%
000000002015,999,00000000,State,2015,"975,688,844,600.00","233,987,044,866.00","7,072,667,200.00","9,866,011,313.00","5,820,946,669.00",3.76%,"5,817,618,245.00","940,831.00",82%
000000002016,999,00000000,State,2016,"977,191,967,900.00","249,227,209,601.84","7,441,943,229.00","10,090,177,272.10","5,953,204,595.00",4.09%,"5,943,909,029.20","942,120.00",80%
000000002017,999,00000000,State,2017,"977,191,967,900.00","252,046,023,334.12","7,410,527,675.00","10,128,238,382.98","5,975,660,639.00",3.94%,"5,926,185,556.48","940,103.00",81%
000000002018,999,00000000,State,2018,"1,106,803,717,800.00","275,738,762,977.00","7,857,398,115.00","10,379,173,843.17","6,123,712,565.00",4.19%,"6,046,916,787.02","941,303.00",78%
000000002019,999,00000000,State,2019,"1,106,803,717,800.00","284,405,513,298.00","8,137,255,174.00","10,777,588,551.00","6,358,777,241.00",4.41%,"6,246,842,877.00","941,411.00",78%
000000002020,999,00000000,State,2020,"1,249,672,575,100.00","288,278,281,343.50","8,637,356,880.00","11,359,048,511.85","6,701,838,626.00",4.38%,"6,513,607,362.00","939,683.00",78%
000000002021,999,00000000,State,2021,"1,249,672,575,100.00","316,117,557,007.23","9,061,499,349.00","11,626,531,095.33","6,859,653,340.00",4.50%,"6,705,321,557.00","938,085.00",76%
000000002022,999,00000000,State,2022,"1,420,130,860,400.00","332,643,685,529.05","9,446,247,692.00","11,926,225,791.73","7,036,473,216.00",2.86%,"6,827,673,657.00","907,506.00",74%
000000002023,999,00000000,State,2023,"1,420,130,860,400.00","337,645,645,855.00","10,292,515,867.00","12,890,335,880.61","7,605,298,161.00",4.25%,"7,166,744,292.00","903,751.00",74%
000000002024,999,00000000,State,2024,"1,583,183,946,900.00","364,947,812,473.25","11,190,027,086.00","13,963,389,872.29","8,238,400,024.00",4.75%,"7,566,302,117.00","905,106.00",74%
000000002025,999,00000000,State,2025,"1,583,183,946,900.00","432,038,780,848.75","12,366,592,109.00","14,535,103,399.72","8,575,711,006.00",4.32%,"7,972,055,326.00","905,572.00",69%
000000002026,999,00000000,State,2026,"1,955,053,248,000.00","403,836,493,290.00","12,679,963,452.00","15,314,834,159.41","9,035,752,151.00",4.30%,"8,377,180,537.00","905,307.00",71%
000100002007,1,00010000,Abington,2007,"1,540,413,700.00","371,467,000.00","11,268,319.00","18,582,867.48","11,268,319.00",8.05%,"11,644,996.00","2,420.00",100%
000100002008,1,00010000,Abington,2008,"2,079,940,800.00","400,125,000.00","12,433,944.00","19,452,035.00","12,433,944.00",6.28%,"12,376,302.00","2,406.00",100%
000100002009,1,00010000,Abington,2009,"2,079,940,800.00","412,691,000.00","12,883,067.00","20,637,856.03","12,883,067.00",4.48%,"12,915,021.00","2,406.00",100%
000100002010,1,00010000,Abington,2010,"2,225,081,800.00","433,658,000.00","13,083,933.00","21,198,331.66","13,083,933.00",1.95%,"13,154,424.00","2,383.00",100%
000100002011,1,00010000,Abington,2011,"2,225,081,800.00","459,381,000.00","12,863,150.00","20,203,343.31","12,863,150.00",-0.56%,"13,015,476.00","2,298.00",100%
000100002012,1,00010000,Abington,2012,"2,013,972,500.00","471,377,000.00","13,240,985.00","19,449,916.88","13,240,985.00",4.30%,"13,508,310.00","2,146.00",100%
000100002013,1,00010000,Abington,2013,"2,013,972,500.00","453,616,000.00","13,801,728.00","20,549,834.90","13,801,728.00",4.38%,"14,055,237.00","2,149.00",100%
000100002014,1,00010000,Abington,2014,"1,883,200,100.00","468,340,000.00","13,930,747.00","21,182,076.81","13,930,747.00",4.22%,"14,540,725.00","2,154.00",100%
000100002015,1,00010000,Abington,2015,"1,883,200,100.00","482,096,000.00","14,111,658.00","20,584,188.00","14,111,658.00",3.34%,"14,569,022.00","2,104.00",100%
000100002016,1,00010000,Abington,2016,"1,759,005,600.00","496,076,000.00","14,104,411.00","21,213,859.49","14,104,411.00",4.26%,"14,647,037.00","2,104.00",100%
000100002017,1,00010000,Abington,2017,"1,759,005,600.00","516,549,000.00","14,263,357.00","21,821,619.11","14,263,357.00",2.98%,"14,386,381.00","2,104.00",100%
000100002018,1,00010000,Abington,2018,"1,892,537,300.00","537,854,000.00","14,381,022.00","22,041,488.00","14,381,022.00",3.60%,"14,459,512.00","2,074.00",100%
000100002019,1,00010000,Abington,2019,"1,892,537,300.00","557,268,000.00","14,929,120.00","23,444,579.00","14,929,120.00",4.45%,"14,929,120.00","2,139.00",100%
000100002020,1,00010000,Abington,2020,"2,103,633,000.00","574,456,000.00","15,875,724.00","25,051,373.09","15,875,724.00",3.77%,"15,491,948.00","2,200.00",100%
000100002021,1,00010000,Abington,2021,"2,103,633,000.00","597,856,000.00","16,195,587.00","26,838,073.19","16,195,587.00",5.68%,"16,195,587.00","2,281.00",100%
000100002022,1,00010000,Abington,2022,"2,379,458,500.00","640,153,000.00","17,003,062.00","28,150,953.47","17,003,062.00",3.33%,"16,734,900.00","2,281.00",100%
000100002023,1,00010000,Abington,2023,"2,379,458,500.00","645,765,000.00","18,465,149.00","31,456,331.29","18,465,149.00",4.54%,"17,662,013.00","2,335.00",100%
000100002024,1,00010000,Abington,2024,"2,693,823,800.00","689,105,000.00","20,084,710.00","33,431,760.03","20,084,710.00",2.48%,"18,276,651.00","2,309.00",100%
000100002025,1,00010000,Abington,2025,"2,693,823,800.00","725,757,000.00","20,907,982.00","34,615,457.74","20,907,982.00",3.31%,"19,064,375.00","2,316.00",100%
000100002026,1,00010000,Abington,2026,"3,278,516,900.00","762,508,000.00","22,602,702.00","35,757,910.36","22,602,702.00",3.26%,"20,067,162.00","2,305.00",100%
000200002007,2,00020000,Acton,2007,"3,398,232,500.00","850,231,000.00","25,359,999.00","35,527,796.60","25,359,999.00",5.12%,"28,741,778.00","4,656.00",100%
000200002008,2,00020000,Acton,2008,"3,909,226,500.00","921,360,000.00","26,041,239.00","37,746,481.00","26,041,239.00",4.11%,"28,952,609.00","4,715.00",100%
000200002009,2,00020000,Acton,2009,"3,909,226,500.00","987,641,000.00","27,512,336.00","40,206,774.27","27,512,336.00",4.48%,"29,346,361.00","4,771.00",100%
000200002010,2,00020000,Acton,2010,"4,102,027,500.00","1,103,337,000.00","28,671,958.00","41,477,788.45","28,671,958.00",2.82%,"29,948,633.00","4,772.00",100%
000200002011,2,00020000,Acton,2011,"4,102,027,500.00","1,224,285,000.00","28,877,160.00","40,974,152.00","28,877,160.00",3.07%,"30,270,787.00","4,818.00",100%
